Date (GMT);Hs(m)
1985 09 24 21;0.22
1985 09 25 21;0.46
1985 09 26 00;0.73
1985 09 26 03;0.72
1985 09 26 06;0.75
1985 09 26 09;0.64
1985 09 26 12;0.74
1985 09 26 15;0.87
1985 09 26 18;0.84
1985 09 26 21;1.11
1985 09 27 00;1.08
1985 09 27 03;1.05
1985 09 27 06;0.76
1985 09 27 09;0.77
1985 09 27 12;0.98
1985 09 27 15;0.98
1985 09 27 18;0.69
1985 09 27 21;0.81
1985 09 28 00;0.66
1985 09 28 03;0.61
1985 09 28 06;0.61
1985 09 28 09;0.54
1985 09 28 12;0.49
1985 09 28 15;0.38
1985 09 28 18;0.38
1985 09 28 21;0.36
1985 09 29 00;0.31
1985 09 29 03;0.25
1985 09 29 06;0.22
1985 09 29 12;0.18
1985 10 01 09;0.13
1985 10 01 15;0.28
1985 10 01 18;0.36
1985 10 01 21;0.51
1985 10 02 00;0.52
1985 10 02 03;0.54
1985 10 02 06;0.49
1985 10 02 09;0.44
1985 10 02 12;0.42
1985 10 02 15;0.38
1985 10 02 21;0.47
1985 10 03 00;0.42
1985 10 03 03;0.4
1985 10 03 06;0.33
1985 10 03 09;0.47
1985 10 03 12;0.54
1985 10 03 15;0.47
1985 10 03 18;0.44
1985 10 03 21;0.4
1985 10 04 00;0.38
1985 10 04 03;0.38
1985 10 04 06;0.33
1985 10 04 09;0.31
1985 10 04 15;0.54
1985 10 04 18;0.58
1985 10 04 21;0.46
1985 10 05 00;0.31
1985 10 05 03;0.22
1985 10 05 06;0.22
1985 10 05 09;0.22
1985 10 05 12;0.25
1985 10 05 15;0.47
1985 10 05 18;0.73
1985 10 05 21;0.62
1985 10 06 00;0.44
1985 10 06 03;0.33
1985 10 06 06;0.31
1985 10 06 09;0.44
1985 10 06 12;0.46
1985 10 06 15;0.67
1985 10 06 18;0.79
1985 10 06 21;0.62
1985 10 07 00;0.55
1985 10 07 03;0.42
1985 10 07 06;0.31
1985 10 07 09;0.25
1985 10 07 12;0.25
1985 10 07 15;0.25
1985 10 07 18;0
1985 10 07 21;0.52
1985 10 08 00;0.33
1985 10 08 03;0.22
1985 10 08 12;0.28
1985 10 08 15;0.28
1985 10 08 18;0
1985 10 08 21;0.4
1985 10 09 00;0.33
1985 10 09 03;0.49
1985 10 09 06;0.76
1985 10 09 12;0.7
1985 10 09 15;0.61
1985 10 09 18;0.58
1985 10 09 21;0.51
1985 10 10 00;0.47
1985 10 10 03;0.44
1985 10 10 06;0.42
1985 10 10 09;0.42
1985 10 10 12;0.42
1985 10 10 15;0.4
1985 10 10 18;0.33
1985 10 10 21;0.33
1985 10 11 00;0.31
1985 10 11 03;0.36
1985 10 11 06;0.36
1985 10 11 09;0.38
1985 10 11 12;0.44
1985 10 11 15;0.49
1985 10 11 18;0.54
1985 10 11 21;0.57
1985 10 12 00;0.52
1985 10 12 03;0.46
1985 10 12 06;0.42
1985 10 12 09;0.42
1985 10 12 12;0.33
1985 10 12 15;0.28
1985 10 12 18;0.36
1985 10 12 21;0.31
1985 10 13 00;0.28
1985 10 13 03;0.22
1985 10 13 06;0.18
1985 10 14 06;0.31
1985 10 14 12;0.75
1985 10 14 15;0.88
1985 10 14 18;0.89
1985 10 14 21;0.8
1985 10 15 00;0.72
1985 10 15 03;0.69
1985 10 15 06;0.61
1985 10 15 09;0.52
1985 10 15 12;0.42
1985 10 15 15;0.4
1985 10 15 18;0
1985 10 15 21;0.47
1985 10 16 00;0.31
1985 10 16 03;0.22
1985 10 16 09;0.18
1985 10 16 12;0.18
1985 10 16 15;0
1985 10 16 18;0.28
1985 10 16 21;0.25
1985 10 17 00;0.33
1985 10 17 03;0.47
1985 10 17 06;0.57
1985 10 17 09;0.64
1985 10 17 12;0.78
1985 10 17 15;0.73
1985 10 17 18;0.64
1985 10 17 21;0.81
1985 10 18 00;0.7
1985 10 18 03;0.63
1985 10 18 06;0.61
1985 10 18 09;0.57
1985 10 18 12;0.67
1985 10 18 15;0.68
1985 10 18 18;0.78
1985 10 18 21;0.74
1985 10 19 00;0.7
1985 10 19 03;0.61
1985 10 19 06;0.49
1985 10 19 09;0.46
1985 10 19 12;0.42
1985 10 19 15;0.42
1985 10 19 18;0.47
1985 10 19 21;0.61
1985 10 20 00;0.51
1985 10 20 03;0.4
1985 10 20 06;0.33
1985 10 20 09;0.33
1985 10 20 12;0.7
1985 10 20 15;0.81
1985 10 20 18;0.59
1985 10 20 21;0.55
1985 10 21 00;0.55
1985 10 21 03;0.75
1985 10 21 06;0.68
1985 10 21 09;0.62
1985 10 21 12;0.55
1985 10 21 15;0.46
1985 10 21 18;0.55
1985 10 21 21;0.76
1985 10 22 00;0.79
1985 10 22 03;0.73
1985 10 22 06;0.68
1985 10 22 09;0.83
1985 10 22 12;0.87
1985 10 22 15;0.89
1985 10 22 18;0.92
1985 10 22 21;0.76
1985 10 23 00;0.72
1985 10 23 03;0.67
1985 10 23 06;0.67
1985 10 23 09;0.69
1985 10 23 12;0.68
1985 10 23 15;0.54
1985 10 23 18;0.47
1985 10 23 21;0.47
1985 10 24 00;0.44
1985 10 24 03;0.52
1985 10 24 06;0.4
1985 10 24 09;0.33
1985 10 24 12;0.25
1985 10 24 15;0.31
1985 10 24 18;0.89
1985 10 24 21;0.8
1985 10 25 00;0.7
1985 10 25 03;0.82
1985 10 25 06;0.91
1985 10 25 09;1
1985 10 25 12;1.22
1985 10 25 15;1.3
1985 10 25 18;1.2
1985 10 25 21;1.23
1985 10 26 00;1.3
1985 10 26 03;1.56
1985 10 26 06;1.41
1985 10 26 09;1.17
1985 10 26 12;0.98
1985 10 26 15;0.95
1985 10 26 18;1.11
1985 10 26 21;1.13
1985 10 27 00;1.17
1985 10 27 03;1.23
1985 10 27 06;1.35
1985 10 27 09;1.28
1985 10 27 12;1.55
1985 10 27 15;1.45
1985 10 27 18;1.48
1985 10 27 21;2.1
1985 10 28 00;2.79
1985 10 28 01;3.19
1985 10 28 02;3.57
1985 10 28 03;3.48
1985 10 28 05;2.85
1985 10 28 06;2.56
1985 10 28 09;2.64
1985 10 28 12;3.23
1985 10 28 15;2.96
1985 10 28 18;2.53
1985 10 28 21;2.02
1985 10 29 00;2.22
1985 10 29 03;1.78
1985 10 29 06;1.59
1985 10 29 09;1.54
1985 10 29 12;1.31
1985 10 29 15;1.3
1985 10 29 18;1.23
1985 10 29 21;1.08
1985 10 30 00;0.98
1985 10 30 03;1
1985 10 30 06;1.04
1985 10 30 09;1.01
1985 10 30 15;0.82
1985 10 30 18;0.92
1985 10 30 21;0.85
1985 10 31 00;0.82
1985 10 31 03;0.74
1985 10 31 06;0.62
1985 10 31 09;0.47
1985 10 31 12;0.4
1985 10 31 15;0.44
1985 10 31 18;0.49
1985 10 31 21;0.49
1985 11 01 00;0.4
1985 11 01 03;0.33
1985 11 01 06;0.28
1985 11 01 09;0.22
1985 11 01 12;0.22
1985 11 01 15;0.22
1985 11 01 21;0
1985 11 02 00;0.66
1985 11 02 03;0.46
1985 11 02 06;0.36
1985 11 02 09;0.25
1985 11 02 21;0.18
1985 11 04 12;0.28
1985 11 04 15;0.22
1985 11 05 06;0.22
1985 11 06 12;0.36
1985 11 06 15;0.36
1985 11 11 06;1.5
1985 11 11 09;1.04
1985 11 11 12;1.01
1985 11 11 15;1.34
1985 11 11 18;1.3
1985 11 11 21;1.17
1985 11 12 00;1.05
1985 11 12 03;1.12
1985 11 12 06;0.94
1985 11 12 09;0.9
1985 11 12 15;0.47
1985 11 12 18;0.28
1985 11 13 03;0.55
1985 11 13 06;0.7
1985 11 13 09;0.67
1985 11 13 12;0.54
1985 11 13 15;0.49
1985 11 13 18;0.51
1985 11 13 21;0.58
1985 11 14 00;0.98
1985 11 14 03;1.11
1985 11 14 06;1.16
1985 11 14 09;0.86
1985 11 14 12;0.73
1985 11 14 15;0.72
1985 11 14 18;0.91
1985 11 14 21;1.27
1985 11 15 00;1.48
1985 11 15 03;1.92
1985 11 15 06;2.12
1985 11 15 09;2.31
1985 11 15 12;2.25
1985 11 15 15;2.4
1985 11 15 18;2.62
1985 11 15 21;2.73
1985 11 16 00;2.79
1985 11 16 03;2.64
1985 11 16 06;2.7
1985 11 16 09;2.61
1985 11 16 12;2.74
1985 11 16 15;3.14
1985 11 16 16;3.42
1985 11 16 18;3.14
1985 11 16 21;2.75
1985 11 17 00;2.37
1985 11 17 03;2.2
1985 11 17 06;2.23
1985 11 17 09;2.23
1985 11 17 12;1.94
1985 11 17 15;1.79
1985 11 17 18;1.64
1985 11 17 21;1.37
1985 11 18 00;1.26
1985 11 18 03;1.26
1985 11 18 06;1.13
1985 11 18 09;1.06
1985 11 18 12;1.21
1985 11 18 15;1.09
1985 11 18 18;1.08
1985 11 18 21;1.07
1985 11 19 00;1.12
1985 11 19 03;1.25
1985 11 19 06;1.29
1985 11 19 09;1.24
1985 11 19 12;1.3
1985 11 19 15;1.55
1985 11 19 18;1.48
1985 11 19 21;1.49
1985 11 20 00;1.28
1985 11 20 03;0.95
1985 11 20 06;0.7
1985 11 20 12;0.92
1985 11 20 15;0.95
1985 11 20 18;0.96
1985 11 20 21;0.77
1985 11 21 00;0.73
1985 11 21 03;0.57
1985 11 21 06;0.61
1985 11 21 09;0.52
1985 11 21 12;0.42
1985 11 21 15;0.42
1985 11 21 18;0.31
1985 11 21 21;0.33
1985 11 22 00;0.33
1985 11 22 03;0.33
1985 11 22 06;0.28
1985 11 22 09;0.33
1985 11 22 12;0.33
1985 11 22 15;0.31
1985 11 22 18;0.36
1985 11 22 21;0.38
1985 11 23 00;0.44
1985 11 23 03;0.42
1985 11 23 06;0.52
1985 11 23 09;0.51
1985 11 23 12;0.46
1985 11 23 15;0.38
1985 11 23 18;0.33
1985 11 23 21;0.31
1985 11 24 00;0.49
1985 11 24 03;0.62
1985 11 24 06;0.55
1985 11 24 09;0.55
1985 11 24 12;0.55
1985 11 24 15;0.55
1985 11 24 18;0.47
1985 11 24 21;0.44
1985 11 25 00;0.42
1985 11 25 03;0.42
1985 11 25 06;0.33
1985 11 25 09;0.31
1985 11 25 12;0.28
1985 11 25 15;0.25
1985 11 25 18;0.25
1985 11 25 21;0.44
1985 11 26 00;0.89
1985 11 26 03;0.98
1985 11 26 06;0.76
1985 11 26 09;0.8
1985 11 26 12;0.7
1985 11 26 15;0.92
1985 11 26 18;1.23
1985 11 26 21;1.16
1985 11 27 00;0.91
1985 11 27 03;0.96
1985 11 27 06;1.35
1985 11 27 09;1.65
1985 11 27 12;1.67
1985 11 27 15;1.43
1985 11 27 18;1.25
1985 11 27 21;0.98
1985 11 28 00;0.87
1985 11 28 03;0.74
1985 11 28 06;0.57
1985 11 28 09;0.54
1985 11 28 15;0.38
1985 11 28 18;0.36
1985 11 28 21;0.33
1985 11 29 00;0.33
1985 11 29 03;0.31
1985 11 29 06;0.28
1985 11 29 09;0.22
1985 11 29 12;0.22
1985 11 29 15;0.22
1985 11 29 21;0.22
1985 11 30 00;0
1985 11 30 03;0.22
1985 11 30 06;0.22
1985 11 30 09;0.22
1985 11 30 12;0.22
1985 11 30 15;0.18
1985 11 30 18;0.18
1985 11 30 21;0.18
1985 12 01 00;0.13
1985 12 03 15;0.28
1985 12 03 18;0.25
1985 12 03 21;0.18
1985 12 04 18;0.18
1985 12 05 03;0.22
1985 12 05 06;0.22
1985 12 05 09;0.22
1985 12 05 12;0.18
1985 12 05 15;0.22
1985 12 05 18;0.22
1985 12 05 21;0.22
1985 12 06 00;0.22
1985 12 06 03;0.22
1985 12 06 06;0.22
1985 12 06 09;0.22
1985 12 06 12;0.22
1985 12 06 15;0.22
1985 12 06 18;0.22
1985 12 06 21;0.49
1985 12 07 00;0.38
1985 12 07 03;0.31
1985 12 07 06;0.28
1985 12 07 09;0.25
1985 12 07 12;0.25
1985 12 07 15;0.36
1985 12 07 18;0.42
1985 12 07 21;0.38
1985 12 08 00;0.28
1985 12 08 03;0.25
1985 12 08 06;0.31
1985 12 08 09;0.28
1985 12 08 12;0.22
1985 12 09 00;0.22
1985 12 09 03;0.18
1985 12 09 06;0.22
1985 12 09 09;0.28
1985 12 09 12;0.42
1985 12 09 15;0.54
1985 12 09 18;0.7
1985 12 09 21;0.85
1985 12 10 00;0.92
1985 12 10 03;1.15
1985 12 10 06;1.12
1985 12 10 09;1
1985 12 10 12;0.83
1985 12 10 15;0.72
1985 12 10 18;0.58
1985 12 10 21;0.42
1985 12 11 00;0.33
1985 12 11 03;0.31
1985 12 11 06;0.28
1985 12 11 09;0.28
1985 12 11 12;0.22
1985 12 11 21;0
1985 12 12 00;0.28
1985 12 12 03;0.25
1985 12 12 06;0.25
1985 12 12 09;0.25
1985 12 12 12;0.31
1985 12 12 15;0.36
1985 12 12 18;0.33
1985 12 12 21;0.31
1985 12 13 00;0.36
1985 12 13 03;0.42
1985 12 13 06;0.51
1985 12 13 09;0.47
1985 12 13 12;0.47
1985 12 13 18;0.57
1985 12 13 21;0.75
1985 12 14 00;0.81
1985 12 14 03;0.73
1985 12 14 06;0.7
1985 12 14 09;0.7
1985 12 14 12;0.78
1985 12 14 15;0.86
1985 12 14 18;0.83
1985 12 14 21;0.7
1985 12 15 00;0.58
1985 12 15 03;0.46
1985 12 15 06;0.38
1985 12 15 12;0.28
1985 12 15 15;0.28
1985 12 15 18;0.22
1985 12 15 21;0.22
1985 12 16 00;0.25
1985 12 16 03;0.22
1985 12 16 06;0.22
1985 12 16 09;0.22
1985 12 16 21;0.22
1985 12 17 00;0.18
1985 12 17 09;0.22
1985 12 17 12;0.18
1985 12 17 15;0.22
1985 12 17 18;0.25
1985 12 17 21;0.22
1985 12 18 00;0.25
1985 12 18 03;0.22
1985 12 18 06;0.22
1985 12 18 09;0.22
1985 12 18 18;0.22
1985 12 18 21;0.18
1985 12 19 00;0.22
1985 12 19 03;0.22
1985 12 19 06;0.22
1985 12 19 09;0.22
1985 12 19 12;0.22
1985 12 19 15;0.28
1985 12 19 18;0.36
1985 12 19 21;0.36
1985 12 20 00;0.36
1985 12 20 03;0.36
1985 12 20 06;0.31
1985 12 20 09;0.31
1985 12 20 12;0.28
1985 12 20 15;0.33
1985 12 20 18;0.42
1985 12 20 21;0.4
1985 12 21 00;0.36
1985 12 21 03;0.28
1985 12 21 06;0.25
1985 12 21 09;0.22
1985 12 21 15;0.18
1985 12 21 18;0.18
1985 12 21 21;0.22
1985 12 22 00;0.22
1985 12 22 03;0
1985 12 22 18;0.18
1985 12 22 21;0.36
1985 12 23 18;0.18
1985 12 23 21;0.22
1985 12 24 00;0.22
1985 12 24 09;0.22
1985 12 24 21;0.18
1985 12 25 12;0.25
1985 12 25 15;0.25
1985 12 25 18;0.22
1985 12 25 21;0.18
1985 12 26 00;0.25
1985 12 26 03;0.22
1985 12 26 21;0.18
1985 12 27 03;0.18
1985 12 27 06;0.18
1985 12 27 09;0.18
1985 12 27 18;0.22
