@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W7
depth(m)	 porosity(-)
1848.8900	    0.235049
1850.7459	    0.226872
1852.6018	    0.185429
1854.4578	    0.176318
1856.3137	    0.195468
1858.1696	    0.183251
1860.0255	    0.175656
1861.8814	    0.178198
1863.7373	    0.173942
1865.5933	    0.172696
1867.4492	    0.223322
1869.3051	    0.218101
1871.1610	    0.240973
1873.0169	    0.249265
1874.8729	    0.234217
1876.7288	    0.241299
1878.5847	    0.228638
1880.4406	    0.173620
1882.2965	    0.170753
1884.1524	    0.169235
1886.0084	    0.251326
1887.8643	    0.249444
1889.7202	    0.248257
1891.5761	    0.227627
1893.4320	    0.261651
1895.2880	    0.082958
1897.1439	    0.066898
1898.9998	    0.061579
1900.8557	    0.247583
1902.7116	    0.233163
1904.5676	    0.261702
1906.4235	    0.270466
1908.2794	    0.251211
1910.1353	    0.097503
1911.9912	    0.108501
1913.8471	    0.213657
1915.7031	    0.221465
1917.5590	    0.212078
1919.4149	    0.136592
1921.2708	    0.175986
1923.1267	    0.196754
1924.9827	    0.204556
1926.8386	    0.224684
1928.6945	    0.154055
1930.5504	    0.137666
1932.4063	    0.127631
1934.2622	    0.177554
1936.1182	    0.165523
1937.9741	    0.163110
1939.8300	    0.169131
