@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W5
depth(m)	 porosity(-)
1917.3400	    0.148778
1919.8435	    0.173886
1922.3469	    0.163441
1924.8504	    0.175667
1927.3539	    0.226872
1929.8573	    0.235409
1932.3608	    0.219305
1934.8643	    0.190484
1937.3678	    0.190056
1939.8712	    0.179751
1942.3747	    0.153277
1944.8782	    0.156320
1947.3816	    0.146719
1949.8851	    0.157549
1952.3886	    0.158926
1954.8920	    0.168039
1957.3955	    0.166420
1959.8990	    0.204474
1962.4024	    0.196203
1964.9059	    0.204596
1967.4094	    0.192006
1969.9129	    0.198065
1972.4163	    0.181594
1974.9198	    0.177009
1977.4233	    0.178005
1979.9267	    0.156421
1982.4302	    0.166095
1984.9337	    0.176694
1987.4371	    0.167207
1989.9406	    0.151613
1992.4441	    0.167257
1994.9476	    0.172897
1997.4510	    0.159403
1999.9545	    0.177352
2002.4580	    0.201593
2004.9614	    0.206823
2007.4649	    0.188328
2009.9684	    0.186683
2012.4718	    0.180361
2014.9753	    0.184436
2017.4788	    0.165718
2019.9822	    0.164964
2022.4857	    0.160024
2024.9892	    0.175709
2027.4927	    0.181246
2029.9961	    0.185757
2032.4996	    0.148830
2035.0031	    0.118384
2037.5065	    0.204927
2040.0100	    0.203071
