@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W17
depth(m)	 porosity(-)
2254.2800	    0.200867
2256.4098	    0.221205
2258.5396	    0.233507
2260.6694	    0.247788
2262.7992	    0.221215
2264.9290	    0.215108
2267.0588	    0.213077
2269.1886	    0.147125
2271.3184	    0.174474
2273.4482	    0.151900
2275.5780	    0.216123
2277.7078	    0.236190
2279.8376	    0.206210
2281.9673	    0.208205
2284.0971	    0.229385
2286.2269	    0.182542
2288.3567	    0.184369
2290.4865	    0.189625
2292.6163	    0.207652
2294.7461	    0.206478
2296.8759	    0.173418
2299.0057	    0.191676
2301.1355	    0.173413
2303.2653	    0.183128
2305.3951	    0.175381
2307.5249	    0.211094
2309.6547	    0.224403
2311.7845	    0.214169
2313.9143	    0.202581
2316.0441	    0.195128
2318.1739	    0.176767
2320.3037	    0.199070
2322.4335	    0.166346
2324.5633	    0.243585
2326.6931	    0.239658
2328.8229	    0.244564
2330.9527	    0.247960
2333.0824	    0.232664
2335.2122	    0.227003
2337.3420	    0.248833
2339.4718	    0.187261
2341.6016	    0.192065
2343.7314	    0.174469
2345.8612	    0.169210
2347.9910	    0.192525
2350.1208	    0.177864
2352.2506	    0.207420
2354.3804	    0.237517
2356.5102	    0.168582
2358.6400	    0.195773
