@@@ Acoustic log report, powered by DARTS (https://darts.citg.tudelft.nl/) @@@
@@@            Special edition for MUDE 2022-2023                          @@@
Well name: W29
depth(m)	 porosity(-)
2068.2600	    0.212826
2070.0139	    0.233600
2071.7678	    0.182424
2073.5216	    0.198171
2075.2755	    0.188983
2077.0294	    0.182374
2078.7833	    0.196270
2080.5371	    0.209419
2082.2910	    0.223561
2084.0449	    0.234964
2085.7988	    0.166855
2087.5527	    0.166390
2089.3065	    0.155901
2091.0604	    0.187785
2092.8143	    0.168223
2094.5682	    0.192496
2096.3220	    0.189945
2098.0759	    0.131328
2099.8298	    0.123157
2101.5837	    0.146912
2103.3376	    0.104176
2105.0914	    0.092860
2106.8453	    0.189627
2108.5992	    0.203144
2110.3531	    0.201143
2112.1069	    0.134681
2113.8608	    0.153724
2115.6147	    0.126856
2117.3686	    0.165705
2119.1224	    0.167037
2120.8763	    0.134432
2122.6302	    0.151694
2124.3841	    0.147844
2126.1380	    0.155548
2127.8918	    0.137455
2129.6457	    0.149290
2131.3996	    0.129045
2133.1535	    0.155727
2134.9073	    0.140120
2136.6612	    0.154410
2138.4151	    0.212564
2140.1690	    0.206479
2141.9229	    0.212873
2143.6767	    0.167603
2145.4306	    0.180573
2147.1845	    0.177686
2148.9384	    0.202407
2150.6922	    0.205586
2152.4461	    0.206215
2154.2000	    0.188305
